job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,benefits_score,company_name,remote_category
XYZ001,AI Software Engineer,76857,EUR,Executive,Contract,Japan,L,China,50,"Git, SQL, Hadoop, GCP, Tableau",PhD,8,Transportation,3/9/19,6.6,NeuralNet Inc,Hybrid
XYZ002,AI Architect,68860,GBP,Entry_Level,Freelancer,Switzerland,M,Denmark,50,"Git, Deep Learning, Java, SQL, MLOps",Master,1,Energy,2/26/19,9.7,NeuralNet Inc,Hybrid
XYZ003,AI Architect,120112,EUR,Mid,Part Time,United States,S,China,50,"Computer Vision, NLP, Linux, GCP, Statistics",Master,15,Real Estate,4/1/19,9.5,Visionary AI,Hybrid
XYZ004,Principal Data Scientist,112812,EUR,Entry_Level,Full Time,India,L,India,50,"MLOps, Kubernetes, R, Linux, Git",Master,12,Energy,3/3/19,5.8,NeuralNet Inc,Hybrid
XYZ005,AI Research Scientist,63245,USD,Entry_Level,Part Time,Japan,S,France,50,"Tableau, Python, Scala, Docker, Java",Master,2,Real Estate,6/23/19,7.3,Visionary AI,Hybrid
XYZ006,AI Software Engineer,153372,USD,Entry_Level,Contract,Austria,M,Denmark,0,"Deep Learning, GCP, Tableau, Mathematics, Computer Vision",Associate,12,Real Estate,8/8/19,8.0,NeuralNet Inc,On-site
XYZ007,Principal Data Scientist,118550,GBP,Entry_Level,Part Time,Australia,L,Sweden,50,"Deep Learning, NLP, Tableau, TensorFlow, SQL",Bachelor,0,Healthcare,3/17/19,8.0,NextGen Analytics,Hybrid
XYZ008,ML Ops Engineer,68810,EUR,Entry_Level,Part Time,India,L,Austria,100,"Azure, Scala, MLOps, R, Tableau",Associate,9,Real Estate,7/18/19,6.9,NextGen Analytics,Fully Remote
XYZ009,Principal Data Scientist,145273,EUR,Entry_Level,Contract,Israel,M,Israel,50,"MLOps, TensorFlow, Docker, PyTorch, Tableau",Bachelor,5,Transportation,7/15/19,7.1,NeuralNet Inc,Hybrid
XYZ010,Computer Vision Engineer,71362,GBP,Mid,Contract,India,S,United Kingdom,0,"Data Visualization, Java, Tableau, GCP, MLOps",Bachelor,10,Retail,7/1/19,8.4,Quantum Minds,On-site
XYZ011,Data Scientist,120703,EUR,Senior,Full Time,India,L,Canada,50,"Hadoop, AWS, R, Docker, NLP",PhD,10,Automotive,10/25/19,6.0,NextGen Analytics,Hybrid
XYZ012,AI Research Scientist,118152,USD,Mid,Freelancer,China,L,India,100,"Azure, Mathematics, Spark, TensorFlow, Java",Associate,0,Real Estate,11/19/19,7.7,NeuralNet Inc,Fully Remote
XYZ013,AI Consultant,136410,EUR,Senior,Contract,Austria,S,Netherlands,100,"MLOps, Docker, AWS, TensorFlow, R",Bachelor,8,Energy,11/17/19,5.4,NextGen Analytics,Fully Remote
XYZ014,Data Scientist,99580,EUR,Executive,Full Time,Norway,M,Australia,100,"Deep Learning, Statistics, Linux, Scala, Data Visualization",Associate,8,Real Estate,12/11/19,8.5,Quantum Minds,Fully Remote
XYZ015,AI Product Manager,114451,EUR,Entry_Level,Part Time,Australia,M,Sweden,50,"Spark, SQL, Mathematics, Java, PyTorch",Master,3,Media,7/4/19,6.0,NextGen Analytics,Hybrid
XYZ016,Autonomous Systems Engineer,108741,EUR,Mid,Contract,Sweden,S,Ireland,50,"Git, Data Visualization, Hadoop, Scala, Kubernetes",Associate,6,Real Estate,9/6/19,6.5,Quantum Minds,Hybrid
XYZ017,AI Specialist,109209,GBP,Senior,Contract,Austria,L,South Korea,50,"TensorFlow, Python, R, Data Visualization, Scala",Associate,9,Manufacturing,11/20/19,6.8,Quantum Minds,Hybrid
XYZ018,AI Specialist,121473,GBP,Mid,Full Time,France,L,Denmark,50,"Docker, AWS, Scala, Mathematics, Git",PhD,2,Healthcare,2/12/19,6.3,NeuralNet Inc,Hybrid
XYZ019,Deep Learning Engineer,130988,EUR,Mid,Part Time,Australia,M,Finland,0,"Statistics, Linux, MLOps, Git, AWS",Associate,14,Automotive,5/16/19,7.8,AlphaByte AI,On-site
XYZ020,Deep Learning Engineer,128736,EUR,Entry_Level,Freelancer,United Kingdom,M,China,50,"GCP, Statistics, PyTorch, Docker, R",Master,3,Media,10/22/19,6.2,AlphaByte AI,Hybrid
XYZ021,AI Research Scientist,108817,USD,Entry_Level,Freelancer,Japan,L,Norway,100,"MLOps, Python, R, NLP, Git",PhD,3,Healthcare,10/26/19,8.3,NextGen Analytics,Fully Remote
XYZ022,AI Software Engineer,76953,EUR,Senior,Freelancer,China,M,Switzerland,50,"Azure, Data Visualization, Scala, Mathematics, NLP",Associate,13,Consulting,5/7/19,5.0,NeuralNet Inc,Hybrid
XYZ023,Data Scientist,151884,EUR,Entry_Level,Part Time,Ireland,S,Japan,100,"Data Visualization, Azure, Docker, Scala, PyTorch",Associate,4,Retail,10/18/19,5.5,Quantum Minds,Fully Remote
XYZ024,Data Scientist,76718,GBP,Mid,Full Time,Germany,S,Finland,0,"GCP, NLP, Java, TensorFlow, Spark",Bachelor,12,Manufacturing,12/24/19,6.9,Quantum Minds,On-site
XYZ025,Machine Learning Engineer,81856,GBP,Mid,Freelancer,Germany,S,Singapore,50,"Deep Learning, Spark, Statistics, GCP, Java",PhD,5,Technology,7/5/19,5.4,AlphaByte AI,Hybrid
XYZ026,ML Ops Engineer,66512,USD,Entry_Level,Freelancer,United States,S,Ireland,50,"PyTorch, Kubernetes, Hadoop, Statistics, Linux",Associate,2,Retail,11/15/19,5.2,Quantum Minds,Hybrid
XYZ027,Research Scientist,145525,EUR,Senior,Full Time,United States,L,Switzerland,50,"NLP, Computer Vision, Docker, AWS, R",Associate,12,Manufacturing,3/13/19,8.5,Quantum Minds,Hybrid
XYZ028,Autonomous Systems Engineer,134793,USD,Executive,Freelancer,Switzerland,S,India,0,"TensorFlow, Azure, R, Mathematics, Linux",Master,11,Retail,7/4/19,8.3,NextGen Analytics,On-site
XYZ029,Data Engineer,65840,EUR,Executive,Freelancer,Canada,M,Singapore,100,"R, Python, TensorFlow, Statistics, Scala",Bachelor,14,Real Estate,11/4/19,5.9,Visionary AI,Fully Remote
XYZ030,AI Product Manager,112370,EUR,Mid,Contract,Germany,L,Australia,100,"Computer Vision, Data Visualization, SQL, Spark, Git",PhD,8,Real Estate,8/12/19,7.7,AlphaByte AI,Fully Remote
XYZ031,Data Scientist,143454,EUR,Executive,Full Time,Germany,L,Japan,50,"MLOps, PyTorch, Azure, TensorFlow, GCP",PhD,14,Technology,2/22/19,9.4,Quantum Minds,Hybrid
XYZ032,Computer Vision Engineer,121447,EUR,Executive,Freelancer,Sweden,S,Switzerland,0,"Hadoop, Linux, Data Visualization, MLOps, PyTorch",Bachelor,13,Energy,9/6/19,7.8,Quantum Minds,On-site
XYZ033,AI Product Manager,107956,EUR,Mid,Freelancer,China,M,Finland,100,"Statistics, Hadoop, Linux, Spark, Kubernetes",Bachelor,9,Consulting,4/10/19,5.5,NeuralNet Inc,Fully Remote
XYZ034,Autonomous Systems Engineer,127372,EUR,Executive,Contract,South Korea,L,Israel,50,"AWS, Docker, Kubernetes, R, Statistics",Bachelor,3,Consulting,5/12/19,5.2,Visionary AI,Hybrid
XYZ035,AI Specialist,140523,EUR,Mid,Part Time,Germany,S,Germany,0,"Data Visualization, Mathematics, R, SQL, Python",Bachelor,4,Government,10/28/19,8.3,NextGen Analytics,On-site
XYZ036,ML Ops Engineer,65799,USD,Senior,Part Time,China,M,Germany,0,"Java, SQL, GCP, Docker, Git",Associate,3,Telecommunications,3/2/19,6.9,Visionary AI,On-site
XYZ037,Data Engineer,86942,USD,Senior,Full Time,South Korea,L,Switzerland,50,"Python, R, Hadoop, Java, Mathematics",Associate,10,Automotive,2/15/19,7.0,NextGen Analytics,Hybrid
